name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Abater Foundation,,https://abater.io,,,,,,,,,,Abater Foundation is a non-profit advancing open networking and SONiC adoption in research and community settings.,,,,,,,,,,,,SONiC Members,Associate Members,,,,,,,,,,,,,,,,,,,,,,,,
Alibaba,,https://www.alibaba-inc.com,,,https://www.crunchbase.com/organization/alibaba,,Premier Members,member,,,,Alibaba Group is a hyperscaler and one of the earliest large-scale deployers of SONiC across its global data-center fabric.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Aria Networks,,https://www.arianetworks.com,,,,,,,,,,Aria Networks provides AI-driven network automation and optimization solutions compatible with SONiC environments.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Arista Networks,,https://www.arista.com,,,https://www.crunchbase.com/organization/arista-networks,,Premier Members,member,,,,Arista Networks delivers cloud networking solutions and actively contributes to the SONiC ecosystem.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Asterfusion Data Technologies,,https://www.cloudswit.ch,,,,,,,,,,"Asterfusion designs white-box switches running SONiC, targeting cloud and data-center operators seeking open-networking alternatives.",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Aviz Certified Community SONiC,,https://aviznetworks.com,,,,,,,,,,"A pre-tested, multi-ASIC, enterprise-ready SONiC distribution supporting silicon from NVIDIA, Cisco, Marvell, and Broadcom with 500+ automated tests and 24/7 commercial support.",,,,,,,,,,,,SONiC Products & Solutions,SONiC Distributions,,,,,,,,,,,,,,,,,,,,,,,,
Aviz FTAS,,https://aviznetworks.com,,,,,,,,,,"Fabric Test Automation Suite (FTAS) is a comprehensive automated testing suite for SONiC comprising 500+ test cases, validating feature quality across multi-vendor hardware and ASIC platforms.",,,,,,,,,,,,SONiC Products & Solutions,Testing & Validation,,,,,,,,,,,,,,,,,,,,,,,,
Aviz Network Copilot,,https://aviznetworks.com,,,,,,,,,,"An AI-powered network management assistant that delivers intelligent insights, automated troubleshooting, and conversational operations for SONiC-based networks.",,,,,,,,,,,,SONiC Products & Solutions,Observability & Monitoring,,,,,,,,,,,,,,,,,,,,,,,,
Aviz Networks,,https://aviznetworks.com,,,https://www.crunchbase.com/organization/aviz-networks,,General Members,member,,,,"Aviz Networks delivers vendor-agnostic SONiC solutions including the ONES orchestration suite, Network Copilot, and Fabric Test Automation Suite (FTAS).",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Aviz ONES,,https://aviznetworks.com,,,,,,,,,,"Open Networking Enterprise Suite (ONES) is Aviz Networks' unified SONiC operations platform offering multi-vendor orchestration, deep observability, and real-time alerting with a 30-minute enterprise SLA.",,,,,,,,,,,,SONiC Products & Solutions,Orchestration & Automation,,,,,,,,,,,,,,,,,,,,,,,,
BDBOS,,https://bdbos.bund.de,,,,,,,,,,"BDBOS is the German federal authority for digital radio for public safety, exploring SONiC for sovereign open-network infrastructure.",,,,,,,,,,,,SONiC Members,Associate Members,,,,,,,,,,,,,,,,,,,,,,,,
BE Networks,,https://be-net.com,,,,,,,,,,BE Networks delivers enhanced open-networking solutions based on SONiC for enterprise customers.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Broadcom,,https://www.broadcom.com,,,https://www.crunchbase.com/organization/broadcom,,Premier Members,member,,,,"Broadcom provides the silicon (Trident, Tomahawk, Jericho families) underpinning the majority of SONiC-capable switches worldwide.",,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Celestica,,https://www.celestica.com,,,https://www.crunchbase.com/organization/celestica,,Premier Members,member,,,,Celestica designs and manufactures open white-box switches (DS/ES series) that run SONiC and are validated by multiple ecosystem partners.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Celestica DS/ES Series,,https://www.celestica.com,,,,,,,,,,"Celestica's DS and ES series white-box switches span 1G campus through 400G spine to 800G AI fabric, all SONiC-validated and listed in SandWork's compatibility matrix.",,,,,,,,,,,,SONiC Hardware Ecosystem,Switch Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Cisco Systems,,https://www.cisco.com,,,https://www.crunchbase.com/organization/cisco-systems,,Premier Members,member,,,,Cisco supports SONiC on its Nexus and Silicon One platforms and has invested in the SONiC ecosystem.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
CMKL University,,https://cmkl.ac.th,,,,,,,,,,"CMKL University (Thailand) uses SONiC for research and academic networking, contributing to the next generation of open-networking engineers.",,,,,,,,,,,,SONiC Members,Associate Members,,,,,,,,,,,,,,,,,,,,,,,,
Dell PowerSwitch S/Z/N Series,,https://www.delltechnologies.com,,,,,,,,,,"Dell's PowerSwitch portfolio supports community and enterprise SONiC across 10G to 800G form factors, validated by Aviz, STORDIS, and PANTHEON.tech SandWork.",,,,,,,,,,,,SONiC Hardware Ecosystem,Switch Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Dell Technologies,,https://www.delltechnologies.com,,,https://www.crunchbase.com/organization/dell-technologies,,Premier Members,member,,,,Dell offers its PowerSwitch portfolio with full SONiC support and is a key hardware vendor validated across multiple SONiC distributions.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Denvr Dataworks,,https://denvrdata.com,,,,,,,,,,Denvr Dataworks operates GPU-as-a-service cloud infrastructure leveraging SONiC for high-performance AI fabric networking.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Dorado Software,,https://doradosoftware.com,,,,,,,,,,Dorado Software provides network management and analytics tools that integrate with SONiC-based open-networking environments.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Edgecore Networks,,https://www.edge-core.com,,,https://www.crunchbase.com/organization/edgecore-networks,,General Members,member,,,,"Edgecore Networks is a leading ODM for open white-box switches from 1G to 800G, offering platforms certified to run SONiC distributions.",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Edgecore Networks Switches,,https://www.edge-core.com,,,,,,,,,,"Edgecore provides a full line of open 1G-800G Ethernet switches supporting community SONiC, Enterprise SONiC, and SONiC Lite across data-center, campus, and service-provider use cases.",,,,,,,,,,,,SONiC Hardware Ecosystem,Switch Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise SONiC by STORDIS,,https://stordis.com,,,,,,,,,,"STORDIS Enterprise SONiC Distribution is a ruggedised, commercially supported NOS based on Broadcom's SONiC with feature enrichment for data-center, campus, and telecom environments.",,,,,,,,,,,,SONiC Products & Solutions,SONiC Distributions,,,,,,,,,,,,,,,,,,,,,,,,
EPFL,,https://epfl.ch,,,,,,,,,,EPFL is a leading Swiss technical university researching programmable networks and SONiC-based infrastructure.,,,,,,,,,,,,SONiC Members,Associate Members,,,,,,,,,,,,,,,,,,,,,,,,
Google,,https://www.google.com,,,https://www.crunchbase.com/organization/google,,Premier Members,member,,,,Google uses SONiC extensively in its global network infrastructure and is an active contributor to the upstream open-source project.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Hedgehog,,https://hedgehog.cloud,,,,,,,,,,"Hedgehog builds the Open Network Fabric, a Kubernetes-native open-source networking platform powered by SONiC for edge and distributed-cloud environments.",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Hedgehog Open Network Fabric,,https://hedgehog.cloud,,,,,,,,,,"An open-source, Kubernetes-native network fabric powered by SONiC. Provides VPC abstractions, multi-tenant APIs, and automated fabric operations for private cloud and edge deployments.",,,,,,,,,,,,SONiC Products & Solutions,Orchestration & Automation,,,,,,,,,,,,,,,,,,,,,,,,
iA Cloud,,https://iacloud.kr,,,,,,,,,,iA Cloud is a South Korean cloud and networking solutions provider contributing to SONiC adoption in Asia-Pacific enterprise markets.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Juniper Networks,,https://www.juniper.net,,,https://www.crunchbase.com/organization/juniper-networks,,General Members,member,,,,Juniper Networks integrates SONiC support into its QFX switching portfolio and participates in the SONiC Foundation as a General Member.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Larch Networks,,https://larch-networks.com,,,,,,,,,,Larch Networks delivers disaggregated networking solutions and professional services for SONiC-based data-center deployments.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Marvell Technology,,https://www.marvell.com,,,https://www.crunchbase.com/organization/marvell-semiconductor,,Premier Members,member,,,,"Marvell provides ASIC silicon (Prestera, Teralynx) with full SAI/SONiC support for multi-vendor open-networking deployments.",,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Micas Networks,,https://micasnetworks.com,,,,,,,,,,"Micas Networks manufactures open white-box switches from 1G to 800G validated with SONiC, targeting hyperscale and enterprise fabrics.",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Micas Networks Open Switches,,https://micasnetworks.com,,,,,,,,,,"Micas produces white-box open switches from 1G access to 128x400G and 64x800G spine, all appearing on SandWork's validated hardware compatibility list.",,,,,,,,,,,,SONiC Hardware Ecosystem,Switch Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,,https://www.microsoft.com,,,https://www.crunchbase.com/organization/microsoft,,Premier Members,member,,,,"Microsoft created SONiC for Azure data centers in 2016 and open-sourced it, seeding the global community that now powers the SONiC Foundation.",,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
MONSOON by STORDIS,,https://stordis.com,,,,,,,,,,"MONSOON is STORDIS's open-source network monitoring exporter for SONiC devices, providing affordable telemetry collection from routers and switches.",,,,,,,,,,,,SONiC Products & Solutions,Observability & Monitoring,,,,,,,,,,,,,,,,,,,,,,,,
Netweb Technologies,,https://netwebindia.com,,,,,,,,,,Netweb Technologies is an Indian IT infrastructure company expanding SONiC adoption across the South Asian enterprise market.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Nexthop AI,,https://nexthop.ai,,,,,,,,,,Nexthop AI builds AI-native networking solutions leveraging SONiC for hyperscale and enterprise AI infrastructure deployments.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
Nokia,,https://www.nokia.com,,,https://www.crunchbase.com/organization/nokia,,Premier Members,member,,,,Nokia joined the SONiC Foundation as a Premier Member and integrates SONiC into its open-networking and IP/optical portfolio.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,,https://www.nvidia.com,,,https://www.crunchbase.com/organization/nvidia,,Premier Members,member,,,,NVIDIA Spectrum ASICs ship with full SONiC support and NVIDIA actively drives RoCEv2/AI fabric features for large-scale GPU clusters.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
PalCNetworks,,https://palcnetworks.com,,,,,,,,,,PalCNetworks delivers networking solutions and integration services built on open platforms including SONiC.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
PANTHEON.tech,,https://pantheon.tech,,,https://www.crunchbase.com/organization/pantheon-tech,,General Members,member,,,,PANTHEON.tech is a European open-networking software company offering SONiC expertise services and the SandWork network orchestration platform.,,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
PLVision,,https://plvision.eu,,,,,,,,,,"PLVision specialises in custom SONiC distributions, SAI Challenger testing, and end-to-end SONiC integration for OEMs, ODMs, and enterprises.",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
SAI Challenger by PLVision,,https://plvision.eu,,,,,,,,,,"An open-source framework for SAI functional and integration testing built on SONiC's native infrastructure, enabling fast testing of any SAI implementation.",,,,,,,,,,,,SONiC Products & Solutions,Testing & Validation,,,,,,,,,,,,,,,,,,,,,,,,
SandWork,,https://pantheon.tech/products/sandwork/,,,,,,,,,,"SandWork is PANTHEON.tech's intent-based network orchestration, automation, and assurance platform purpose-built for SONiC. It handles Day 2+ fabric configurations (VXLAN, switchports, MC-LAG) and supports large-scale enterprise SONiC deployments.",,,,,,,,,,,,SONiC Products & Solutions,Orchestration & Automation,,,,,,,,,,,,,,,,,,,,,,,,
SONiC Lite by PLVision,,https://plvision.eu,,,,,,,,,,"SONiC Lite is PLVision's lightweight enterprise SONiC distribution optimised for access, edge, campus, and OOB management switches with 30-50% lower hardware requirements.",,,,,,,,,,,,SONiC Products & Solutions,SONiC Distributions,,,,,,,,,,,,,,,,,,,,,,,,
STORDIS,,https://stordis.com,,,,,,,,,,"STORDIS is The Open Networking Expert, distributing Enterprise SONiC and providing MONSOON monitoring, SONiC bootcamps, and Open2Support SLAs.",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
Sumitomo Electric Industry,,https://www.global-sei.com,,,,,,,,,,"Sumitomo Electric brings optical and network hardware expertise to the SONiC ecosystem, supporting open-networking adoption globally.",,,,,,,,,,,,SONiC Members,General Members,,,,,,,,,,,,,,,,,,,,,,,,
University of Rome Tor Vergata,,https://uniroma2.it,,,,,,,,,,The University of Rome Tor Vergata conducts networking research leveraging SONiC for academic and experimental deployments.,,,,,,,,,,,,SONiC Members,Associate Members,,,,,,,,,,,,,,,,,,,,,,,,
Upscale AI,,https://upscaleai.com,,,,,,,,,,Upscale AI delivers AI-optimized network infrastructure solutions built on SONiC for next-generation AI data centers.,,,,,,,,,,,,SONiC Members,Premier Members,,,,,,,,,,,,,,,,,,,,,,,,
